"","Feature","Gain","Cover","Frequency"
"1","sleep",0.262121758626571,0.207694121822244,0.121545362465634
"2","resp",0.2011064898705,0.146749586961042,0.120387787585009
"3","hisp",0.0991242872413107,0.0980070971657726,0.0697438865576617
"4","fruit",0.0873410031544683,0.110008502455202,0.0921718998697728
"5","white",0.0792623903514785,0.0716575959753964,0.0334249746780495
"6","manufacturing",0.0476611538531094,0.0537224760992124,0.0549848068296918
"7","metro2",0.0439621695017433,0.0705014437305179,0.0619302561134423
"8","hdrink",0.0381072573706636,0.0387810573991959,0.0515120821878165
"9","mental",0.0278448324738323,0.0508353394607672,0.0711908551584431
"10","hincome",0.0199048307285225,0.0212449462943926,0.0263348285342208
"11","lesshighschool",0.0191635449159256,0.0140551650712263,0.0300969468962524
"12","noinsurance",0.0186182664860696,0.0275578814126468,0.0344378526985964
"13","food_index",0.0101408446176125,0.0109287853686403,0.0334249746780495
"14","ptsdf",0.00914429141772575,0.00775666563616434,0.0298075531760961
"15","nocomputer",0.00437765220089164,0.00313594942515163,0.0257560410939083
"16","marri",0.00415597190357642,0.00691355685826333,0.0138908985675011
"17","veteran",0.00386288808297309,0.00688533428662909,0.00737953986398495
"18","social_assoc",0.00377503998555481,0.00285469690093456,0.00723484300390682
"19","dslpm",0.00372892413302735,0.0162296006765632,0.0189552886702359
"20","black",0.00364330411238386,0.00358345560411063,0.00737953986398495
"21","homevalue",0.00298883532799409,0.0029641810150329,0.0122992331066416
"22","pop",0.00218714587039297,0.0038093983758721,0.00535378382289104
"23","vacant",0.00170954568950194,0.00242908754479522,0.0112863550860946
"24","cholesterol",0.00144612939492111,0.00106613197328653,0.00303863406164086
"25","obesity",0.00101557607244042,0.00810101344983957,0.0164954420489075
"26","glyphosate",0.000916121462810917,0.00659743161622233,0.0134568079872667
"27","housingcost",0.000873199298175474,0.00140139666045878,0.00651135870351613
"28","lesscollege",0.000756200251666577,0.00090993463717289,0.00144696860078136
"29","unemploy",0.000414594472422877,0.00140788460796091,0.00448560266242223
"30","park",0.000278643014620576,0.00064149580927251,0.000723484300390682
"31","chlamydia",0.000257839796569515,0.0000184906503810534,0.000868181160468818
"32","risk_score",0.0000461158525274609,0.000120027028789294,0.000144696860078136
"33","gini",0.0000321003156895909,0.000142734845046728,0.000578787440312545
"34","nointernet",0.0000310521523265969,0.00128753318179651,0.011720445666329
